10-digit PSGC,Name,Correspondence Code
1381701000,Pateros,137606000
1400101000,Bangued ,140101000
1400102000,Boliney,140102000
1400103000,Bucay,140103000
1400104000,Bucloc,140104000
1400105000,Daguioman,140105000
1400106000,Danglas,140106000
1400107000,Dolores,140107000
1400108000,La Paz,140108000
1400109000,Lacub,140109000
1400110000,Lagangilang,140110000
1400111000,Lagayan,140111000
1400112000,Langiden,140112000
1400113000,Licuan-Baay,140113000
1400114000,Luba,140114000
1400115000,Malibcong,140115000
1400116000,Manabo,140116000
1400117000,Peñarrubia,140117000
1400118000,Pidigan,140118000
1400119000,Pilar,140119000
1400120000,Sallapadan,140120000
1400121000,San Isidro,140121000
1400122000,San Juan,140122000
1400123000,San Quintin,140123000
1400124000,Tayum,140124000
1400125000,Tineg,140125000
1400126000,Tubo,140126000
1400127000,Villaviciosa,140127000
1401101000,Atok,141101000
1401103000,Bakun,141103000
1401104000,Bokod,141104000
1401105000,Buguias,141105000
1401106000,Itogon,141106000
1401107000,Kabayan,141107000
1401108000,Kapangan,141108000
1401109000,Kibungan,141109000
1401110000,La Trinidad ,141110000
1401111000,Mankayan,141111000
1401112000,Sablan,141112000
1401113000,Tuba,141113000
1401114000,Tublay,141114000
1402701000,Banaue,142701000
1402702000,Hungduan,142702000
1402703000,Kiangan,142703000
1402704000,Lagawe ,142704000
1402705000,Lamut,142705000
1402706000,Mayoyao,142706000
1402707000,Alfonso Lista,142707000
1402708000,Aguinaldo,142708000
1402709000,Hingyon,142709000
1402710000,Tinoc,142710000
1402711000,Asipulo,142711000
1403201000,Balbalan,143201000
1403206000,Lubuagan,143206000
1403208000,Pasil,143208000
1403209000,Pinukpuk,143209000
1403211000,Rizal,143211000
1403214000,Tanudan,143214000
1403215000,Tinglayan,143215000
1404401000,Barlig,144401000
1404402000,Bauko,144402000
1404403000,Besao,144403000
1404404000,Bontoc ,144404000
1404405000,Natonin,144405000
1404406000,Paracelis,144406000
1404407000,Sabangan,144407000
1404408000,Sadanga,144408000
1404409000,Sagada,144409000
1404410000,Tadian,144410000
1408101000,Calanasan,148101000
1408102000,Conner,148102000
1408103000,Flora,148103000
1408104000,Kabugao ,148104000
1408105000,Luna,148105000
1408106000,Pudtol,148106000
1408107000,Santa Marcela,148107000
0102801000,Adams,012801000
0102802000,Bacarra,012802000
0102803000,Badoc,012803000
0102804000,Bangui,012804000
0102806000,Burgos,012806000
0102807000,Carasi,012807000
0102808000,Currimao,012808000
0102809000,Dingras,012809000
0102810000,Dumalneg,012810000
0102811000,Banna,012811000
0102813000,Marcos,012813000
0102814000,Nueva Era,012814000
0102815000,Pagudpud,012815000
0102816000,Paoay,012816000
0102817000,Pasuquin,012817000
0102818000,Piddig,012818000
0102819000,Pinili,012819000
0102820000,San Nicolas,012820000
0102821000,Sarrat,012821000
0102822000,Solsona,012822000
0102823000,Vintar,012823000
0102901000,Alilem,012901000
0102902000,Banayoyo,012902000
0102903000,Bantay,012903000
0102904000,Burgos,012904000
0102905000,Cabugao,012905000
0102907000,Caoayan,012907000
0102908000,Cervantes,012908000
0102909000,Galimuyod,012909000
0102910000,Gregorio del Pilar,012910000
0102911000,Lidlidda,012911000
0102912000,Magsingal,012912000
0102913000,Nagbukel,012913000
0102914000,Narvacan,012914000
0102915000,Quirino,012915000
0102916000,Salcedo,012916000
0102917000,San Emilio,012917000
0102918000,San Esteban,012918000
0102919000,San Ildefonso,012919000
0102920000,San Juan,012920000
0102921000,San Vicente,012921000
0102922000,Santa,012922000
0102923000,Santa Catalina,012923000
0102924000,Santa Cruz,012924000
0102925000,Santa Lucia,012925000
0102926000,Santa Maria,012926000
0102927000,Santiago,012927000
0102928000,Santo Domingo,012928000
0102929000,Sigay,012929000
0102930000,Sinait,012930000
0102931000,Sugpon,012931000
0102932000,Suyo,012932000
0102933000,Tagudin,012933000
0103301000,Agoo,013301000
0103302000,Aringay,013302000
0103303000,Bacnotan,013303000
0103304000,Bagulin,013304000
0103305000,Balaoan,013305000
0103306000,Bangar,013306000
0103307000,Bauang,013307000
0103308000,Burgos,013308000
0103309000,Caba,013309000
0103310000,Luna,013310000
0103311000,Naguilian,013311000
0103312000,Pugo,013312000
0103313000,Rosario,013313000
0103315000,San Gabriel,013315000
0103316000,San Juan,013316000
0103317000,Santo Tomas,013317000
0103318000,Santol,013318000
0103319000,Sudipen,013319000
0103320000,Tubao,013320000
0105501000,Agno,015501000
0105502000,Aguilar,015502000
0105504000,Alcala,015504000
0105505000,Anda,015505000
0105506000,Asingan,015506000
0105507000,Balungao,015507000
0105508000,Bani,015508000
0105509000,Basista,015509000
0105510000,Bautista,015510000
0105511000,Bayambang,015511000
0105512000,Binalonan,015512000
0105513000,Binmaley,015513000
0105514000,Bolinao,015514000
0105515000,Bugallon,015515000
0105516000,Burgos,015516000
0105517000,Calasiao,015517000
0105519000,Dasol,015519000
0105520000,Infanta,015520000
0105521000,Labrador,015521000
0105522000,Lingayen ,015522000
0105523000,Mabini,015523000
0105524000,Malasiqui,015524000
0105525000,Manaoag,015525000
0105526000,Mangaldan,015526000
0105527000,Mangatarem,015527000
0105528000,Mapandan,015528000
0105529000,Natividad,015529000
0105530000,Pozorrubio,015530000
0105531000,Rosales,015531000
0105533000,San Fabian,015533000
0105534000,San Jacinto,015534000
0105535000,San Manuel,015535000
0105536000,San Nicolas,015536000
0105537000,San Quintin,015537000
0105538000,Santa Barbara,015538000
0105539000,Santa Maria,015539000
0105540000,Santo Tomas,015540000
0105541000,Sison,015541000
0105542000,Sual,015542000
0105543000,Tayug,015543000
0105544000,Umingan,015544000
0105545000,Urbiztondo,015545000
0105547000,Villasis,015547000
0105548000,Laoac,015548000
0200901000,Basco ,020901000
0200902000,Itbayat,020902000
0200903000,Ivana,020903000
0200904000,Mahatao,020904000
0200905000,Sabtang,020905000
0200906000,Uyugan,020906000
0201501000,Abulug,021501000
0201502000,Alcala,021502000
0201503000,Allacapan,021503000
0201504000,Amulung,021504000
0201505000,Aparri,021505000
0201506000,Baggao,021506000
0201507000,Ballesteros,021507000
0201508000,Buguey,021508000
0201509000,Calayan,021509000
0201510000,Camalaniugan,021510000
0201511000,Claveria,021511000
0201512000,Enrile,021512000
0201513000,Gattaran,021513000
0201514000,Gonzaga,021514000
0201515000,Iguig,021515000
0201516000,Lal-Lo,021516000
0201517000,Lasam,021517000
0201518000,Pamplona,021518000
0201519000,Peñablanca,021519000
0201520000,Piat,021520000
0201521000,Rizal,021521000
0201522000,Sanchez-Mira,021522000
0201523000,Santa Ana,021523000
0201524000,Santa Praxedes,021524000
0201525000,Santa Teresita,021525000
0201526000,Santo Niño,021526000
0201527000,Solana,021527000
0201528000,Tuao,021528000
0203101000,Alicia,023101000
0203102000,Angadanan,023102000
0203103000,Aurora,023103000
0203104000,Benito Soliven,023104000
0203105000,Burgos,023105000
0203106000,Cabagan,023106000
0203107000,Cabatuan,023107000
0203109000,Cordon,023109000
0203110000,Dinapigue,023110000
0203111000,Divilacan,023111000
0203112000,Echague,023112000
0203113000,Gamu,023113000
0203115000,Jones,023115000
0203116000,Luna,023116000
0203117000,Maconacon,023117000
0203118000,Delfin Albano,023118000
0203119000,Mallig,023119000
0203120000,Naguilian,023120000
0203121000,Palanan,023121000
0203122000,Quezon,023122000
0203123000,Quirino,023123000
0203124000,Ramon,023124000
0203125000,Reina Mercedes,023125000
0203126000,Roxas,023126000
0203127000,San Agustin,023127000
0203128000,San Guillermo,023128000
0203129000,San Isidro,023129000
0203130000,San Manuel,023130000
0203131000,San Mariano,023131000
0203132000,San Mateo,023132000
0203133000,San Pablo,023133000
0203134000,Santa Maria,023134000
0203136000,Santo Tomas,023136000
0203137000,Tumauini,023137000
0205001000,Ambaguio,025001000
0205002000,Aritao,025002000
0205003000,Bagabag,025003000
0205004000,Bambang,025004000
0205005000,Bayombong ,025005000
0205006000,Diadi,025006000
0205007000,Dupax del Norte,025007000
0205008000,Dupax del Sur,025008000
0205009000,Kasibu,025009000
0205010000,Kayapa,025010000
0205011000,Quezon,025011000
0205012000,Santa Fe,025012000
0205013000,Solano,025013000
0205014000,Villaverde,025014000
0205015000,Alfonso Castaneda,025015000
0205701000,Aglipay,025701000
0205702000,Cabarroguis ,025702000
0205703000,Diffun,025703000
0205704000,Maddela,025704000
0205705000,Saguday,025705000
0205706000,Nagtipunan,025706000
0300801000,Abucay,030801000
0300802000,Bagac,030802000
0300804000,Dinalupihan,030804000
0300805000,Hermosa,030805000
0300806000,Limay,030806000
0300807000,Mariveles,030807000
0300808000,Morong,030808000
0300809000,Orani,030809000
0300810000,Orion,030810000
0300811000,Pilar,030811000
0300812000,Samal,030812000
0301401000,Angat,031401000
0301402000,Balagtas,031402000
0301404000,Bocaue,031404000
0301405000,Bulacan,031405000
0301406000,Bustos,031406000
0301407000,Calumpit,031407000
0301408000,Guiguinto,031408000
0301409000,Hagonoy,031409000
0301411000,Marilao,031411000
0301413000,Norzagaray,031413000
0301414000,Obando,031414000
0301415000,Pandi,031415000
0301416000,Paombong,031416000
0301417000,Plaridel,031417000
0301418000,Pulilan,031418000
0301419000,San Ildefonso,031419000
0301421000,San Miguel,031421000
0301422000,San Rafael,031422000
0301423000,Santa Maria,031423000
0301424000,Doña Remedios Trinidad,031424000
0304901000,Aliaga,034901000
0304902000,Bongabon,034902000
0304904000,Cabiao,034904000
0304905000,Carranglan,034905000
0304906000,Cuyapo,034906000
0304907000,Gabaldon,034907000
0304909000,General Mamerto Natividad,034909000
0304910000,General Tinio,034910000
0304911000,Guimba,034911000
0304912000,Jaen,034912000
0304913000,Laur,034913000
0304914000,Licab,034914000
0304915000,Llanera,034915000
0304916000,Lupao,034916000
0304918000,Nampicuan,034918000
0304920000,Pantabangan,034920000
0304921000,Peñaranda,034921000
0304922000,Quezon,034922000
0304923000,Rizal,034923000
0304924000,San Antonio,034924000
0304925000,San Isidro,034925000
0304927000,San Leonardo,034927000
0304928000,Santa Rosa,034928000
0304929000,Santo Domingo,034929000
0304930000,Talavera,034930000
0304931000,Talugtug,034931000
0304932000,Zaragoza,034932000
0305402000,Apalit,035402000
0305403000,Arayat,035403000
0305404000,Bacolor,035404000
0305405000,Candaba,035405000
0305406000,Floridablanca,035406000
0305407000,Guagua,035407000
0305408000,Lubao,035408000
0305410000,Macabebe,035410000
0305411000,Magalang,035411000
0305412000,Masantol,035412000
0305413000,Mexico,035413000
0305414000,Minalin,035414000
0305415000,Porac,035415000
0305417000,San Luis,035417000
0305418000,San Simon,035418000
0305419000,Santa Ana,035419000
0305420000,Santa Rita,035420000
0305421000,Sto. Tomas,035421000
0305422000,Sasmuan,035422000
0306901000,Anao,036901000
0306902000,Bamban,036902000
0306903000,Camiling,036903000
0306904000,Capas,036904000
0306905000,Concepcion,036905000
0306906000,Gerona,036906000
0306907000,La Paz,036907000
0306908000,Mayantoc,036908000
0306909000,Moncada,036909000
0306910000,Paniqui,036910000
0306911000,Pura,036911000
0306912000,Ramos,036912000
0306913000,San Clemente,036913000
0306914000,San Manuel,036914000
0306915000,Santa Ignacia,036915000
0306917000,Victoria,036917000
0306918000,San Jose,036918000
0307101000,Botolan,037101000
0307102000,Cabangan,037102000
0307103000,Candelaria,037103000
0307104000,Castillejos,037104000
0307105000,Iba ,037105000
0307106000,Masinloc,037106000
0307108000,Palauig,037108000
0307109000,San Antonio,037109000
0307110000,San Felipe,037110000
0307111000,San Marcelino,037111000
0307112000,San Narciso,037112000
0307113000,Santa Cruz,037113000
0307114000,Subic,037114000
0307701000,Baler ,037701000
0307702000,Casiguran,037702000
0307703000,Dilasag,037703000
0307704000,Dinalungan,037704000
0307705000,Dingalan,037705000
0307706000,Dipaculao,037706000
0307707000,Maria Aurora,037707000
0307708000,San Luis,037708000
0401001000,Agoncillo,041001000
0401002000,Alitagtag,041002000
0401003000,Balayan,041003000
0401004000,Balete,041004000
0401006000,Bauan,041006000
0401008000,Calatagan,041008000
0401009000,Cuenca,041009000
0401010000,Ibaan,041010000
0401011000,Laurel,041011000
0401012000,Lemery,041012000
0401013000,Lian,041013000
0401015000,Lobo,041015000
0401016000,Mabini,041016000
0401017000,Malvar,041017000
0401018000,Mataasnakahoy,041018000
0401019000,Nasugbu,041019000
0401020000,Padre Garcia,041020000
0401021000,Rosario,041021000
0401022000,San Jose,041022000
0401023000,San Juan,041023000
0401024000,San Luis,041024000
0401025000,San Nicolas,041025000
0401026000,San Pascual,041026000
0401027000,Santa Teresita,041027000
0401029000,Taal,041029000
0401030000,Talisay,041030000
0401032000,Taysan,041032000
0401033000,Tingloy,041033000
0401034000,Tuy,041034000
0402101000,Alfonso,042101000
0402102000,Amadeo,042102000
0402107000,General Emilio Aguinaldo,042107000
0402110000,Indang,042110000
0402111000,Kawit,042111000
0402112000,Magallanes,042112000
0402113000,Maragondon,042113000
0402114000,Mendez,042114000
0402115000,Naic,042115000
0402116000,Noveleta,042116000
0402117000,Rosario,042117000
0402118000,Silang,042118000
0402120000,Tanza,042120000
0402121000,Ternate,042121000
0402123000,Gen. Mariano Alvarez,042123000
0403401000,Alaminos,043401000
0403402000,Bay,043402000
0403406000,Calauan,043406000
0403407000,Cavinti,043407000
0403408000,Famy,043408000
0403409000,Kalayaan,043409000
0403410000,Liliw,043410000
0403411000,Los Baños,043411000
0403412000,Luisiana,043412000
0403413000,Lumban,043413000
0403414000,Mabitac,043414000
0403415000,Magdalena,043415000
0403416000,Majayjay,043416000
0403417000,Nagcarlan,043417000
0403418000,Paete,043418000
0403419000,Pagsanjan,043419000
0403420000,Pakil,043420000
0403421000,Pangil,043421000
0403422000,Pila,043422000
