10-digit PSGC,Name,Correspondence Code
1400100000,Abra,140100000
1401100000,Benguet,141100000
1402700000,Ifugao,142700000
1403200000,Kalinga,143200000
1404400000,Mountain Province,144400000
1408100000,Apayao,148100000
0102800000,Ilocos Norte,012800000
0102900000,Ilocos Sur,012900000
0103300000,La Union,013300000
0105500000,Pangasinan,015500000
0200900000,Batanes,020900000
0201500000,Cagayan,021500000
0203100000,Isabela,023100000
0205000000,Nueva Vizcaya,025000000
0205700000,Quirino,025700000
0300800000,Bataan,030800000
0301400000,Bulacan,031400000
0304900000,Nueva Ecija,034900000
0305400000,Pampanga,035400000
0306900000,Tarlac,036900000
0307100000,Zambales,037100000
0307700000,Aurora,037700000
0401000000,Batangas,041000000
0402100000,Cavite,042100000
0403400000,Laguna,043400000
0405600000,Quezon,045600000
0405800000,Rizal,045800000
1704000000,Marinduque,174000000
1705100000,Occidental Mindoro,175100000
1705200000,Oriental Mindoro,175200000
1705300000,Palawan,175300000
1705900000,Romblon,175900000
0500500000,Albay,050500000
0501600000,Camarines Norte,051600000
0501700000,Camarines Sur,051700000
0502000000,Catanduanes,052000000
0504100000,Masbate,054100000
0506200000,Sorsogon,056200000
0600400000,Aklan,060400000
0600600000,Antique,060600000
0601900000,Capiz,061900000
0603000000,Iloilo,063000000
0607900000,Guimaras,067900000
1804500000,Negros Occidental,064500000
1804600000,Negros Oriental,074600000
1806100000,Siquijor,076100000
0701200000,Bohol,071200000
0702200000,Cebu,072200000
0802600000,Eastern Samar,082600000
0803700000,Leyte,083700000
0804800000,Northern Samar,084800000
0806000000,Samar,086000000
0806400000,Southern Leyte,086400000
0807800000,Biliran,087800000
0907200000,Zamboanga del Norte,097200000
0907300000,Zamboanga del Sur,097300000
0908300000,Zamboanga Sibugay,098300000
1001300000,Bukidnon,101300000
1001800000,Camiguin,101800000
1003500000,Lanao del Norte,103500000
1004200000,Misamis Occidental,104200000
1004300000,Misamis Oriental,104300000
1102300000,Davao del Norte,112300000
1102400000,Davao del Sur,112400000
1102500000,Davao Oriental,112500000
1108200000,Davao de Oro,118200000
1108600000,Davao Occidental,118600000
1204700000,Cotabato,124700000
1206300000,South Cotabato,126300000
1206500000,Sultan Kudarat,126500000
1208000000,Sarangani,128000000
1600200000,Agusan del Norte,160200000
1600300000,Agusan del Sur,160300000
1606700000,Surigao del Norte,166700000
1606800000,Surigao del Sur,166800000
1608500000,Dinagat Islands,168500000
1900700000,Basilan,150700000
1903600000,Lanao del Sur,153600000
1906600000,Sulu,156600000
1907000000,Tawi-Tawi,157000000
1908700000,Maguindanao del Norte,
1908800000,Maguindanao del Sur,
